大分類,小分類,施設名,所在地,電話番号,緯度,経度
福祉施設,地域福祉センター,印旛地域福祉センター（ふれあいセンターいんば内）,印西市美瀬1-25,0476-98-1111,35.779387,140.204606
保健施設,健康づくりセンター,健康づくりセンター（ふれあいセンターいんば内）,印西市美瀬1-25,0476-80-3900,35.779387,140.204606
児童・子育て施設,児童館,いんば児童館（ふれあいセンターいんば内）,印西市美瀬1-25,0476-80-3950,35.779387,140.204606
文化施設,図書館,印旛図書館（ふれあいセンターいんば内）,印西市美瀬1-25,0476-80-3850,35.779387,140.204606
教育施設,給食センター,中央学校給食センター,印西市鹿黒南1-5,0476-33-3316,35.816799,140.128571
教育施設,給食センター,牧の原学校給食センター,印西市牧の原2-5,0476-42-4700,35.8085,140.154947
教育施設,給食センター,印旛学校給食センター,印西市美瀬2-2,0476-98-0429,35.784529,140.209622
文化施設,公民館,中央駅前地域交流館（中央駅前地域交流館1号館と2号館3階部分）,印西市中央南1-2,0476-46-5111,35.8003,140.119142
児童・子育て施設,ファミリーサポートセンター,ファミリーサポートセンター（中央駅前地域交流館2号館内）,印西市中央南1-4-1,0476-48-5728,35.799795,140.119445
コミュニティセンター等,市民活動支援センター,市民活動支援センター（中央駅前地域交流館2号館内）,印西市中央南1-4-1,0476-48-4500,35.799795,140.119445
コミュニティセンター等,市民安全センター,市民安全センター（中央駅前地域交流館2号館内）,印西市中央南1-4-1,0476-45-1955,35.799795,140.119445
文化施設,公民館,小林公民館（小林コミュニティプラザ内）,印西市小林北5-1-6,0476-97-0003,35.83194,140.19767
文化施設,図書館,小林図書館（小林コミュニティプラザ内）,印西市小林北5-1-6,0476-97-0005,35.83194,140.19767
児童・子育て施設,子育て支援センター,小林子育て支援センター,印西市小林北5-12-1,0476-80-8700,35.830065,140.196706
文化施設,公民館,中央公民館,印西市大森3934-1,0476-42-2911,35.841431,140.14663
文化施設,公民館,そうふけ公民館（ふれあい文化館内）,印西市原3-4,0476-45-3800,35.799681,140.165233
児童・子育て施設,児童館,そうふけ児童館（ふれあい文化館内）,印西市原3-4,0476-45-3800,35.799681,140.165233
福祉施設,高齢者のための施設,そうふけ老人福祉センター（ふれあい文化館内）,印西市原3-4,0476-45-3800,35.799681,140.165233
文化施設,図書館,そうふけ図書館（ふれあい文化館内）,印西市原3-4,0476-45-2566,35.799681,140.165233
コミュニティセンター等,コミュニティセンター,草深ふれあい市民センター（そうふけふれあいの里内）,印西市草深924,0476-47-4700,35.795776,140.151042
福祉施設,高齢者のための施設,高齢者就労支援センター（そうふけふれあいの里内）,印西市草深924,0476-47-4050,35.795776,140.151042
福祉施設,障がいのある人のための施設,障害児放課後対策事業所（クリオネクラブ）（そうふけふれあいの里内）,印西市草深924,0476-47-6070,35.795776,140.151042
教育施設,教育センター,教育センター（そうふけふれあいの里内）,印西市草深924,0476-47-0400,35.795776,140.151042
児童・子育て施設,つどいの広場,そうふけつどいの広場（そうふけふれあいの里内）,印西市草深924,0476-47-7880,35.795776,140.151042
文化施設,公民館,印旛公民館,印西市瀬戸1518,0476-98-0427,35.780376,140.223053
文化施設,公民館,本埜公民館,印西市中根1375,0476-97-2011,35.810149,140.199623
文化施設,文化ホール,文化ホール,印西市大森2535,0476-42-8811,35.833347,140.145986
文化施設,図書館,大森図書館,印西市大森2535,0476-42-8686,35.833347,140.145986
文化施設,図書館,小倉台図書館,印西市小倉台4-5,0476-47-5511,35.806067,140.112474
文化施設,図書館,本埜図書館（本埜ファミリア館内）,印西市滝野3-4,0476-97-3210,35.806725,140.17767
福祉施設,高齢者のための施設,滝野シルバールーム（本埜ファミリア館内）,印西市滝野3-4,0476-80-8181,35.806725,140.17767
児童・子育て施設,子育て支援センター,滝野子育て支援センター（本埜ファミリア館内）,印西市滝野3-4,0476-97-1822,35.806725,140.17767
文化施設,資料館,印旛歴史民俗資料館,印西市岩戸1742,0476-99-0002,35.762538,140.166995
文化施設,資料館,印旛医科器械歴史資料館,印西市舞姫1-1-1,0476-98-1390,35.786878,140.202627
文化施設,資料館,木下交流の杜歴史資料センター,印西市木下1489-1,0476-40-3500,35.838109,140.155273
コミュニティセンター等,コミュニティセンター,中央駅南コミュニティセンター（サザンプラザ）,印西市原山3-3,0476-45-0611,35.79879,140.129427
コミュニティセンター等,コミュニティセンター,中央駅北コミュニティセンター（フレンドリープラザ）,印西市木刈4-3-1,0476-46-8611,35.809018,140.104955
コミュニティセンター等,コミュニティセンター,永治コミュニティセンター（永治プラザ）,印西市浦部411-3,0476-42-1101,35.825243,140.109113
コミュニティセンター等,コミュニティセンター,船穂コミュニティセンター,印西市船尾786-1,0476-48-5311,35.78158,140.129417
体育施設,体育館,松山下公園総合体育館,印西市浦部275,0476-42-8417,35.824716,140.11372
コミュニティセンター等,コミュニティセンター,牧の原地域交流センター,印西市牧の原3-1-2,0476-37-5995,35.812277,140.160079
福祉施設,障がいのある人のための施設,ふれあいサポートセンターいんざい,印西市木下804-1,0476-42-1118,35.836689,140.155069
教育施設,幼稚園,瀬戸幼稚園,印西市瀬戸1580,0476-98-0434,35.7773,140.227412
教育施設,幼稚園,もとの幼稚園,印西市中根1403-10,0476-97-1010,35.811204,140.199268
児童・子育て施設,保育園,木刈保育園,印西市木刈6-23,0476-46-1873,35.807788,140.10447
児童・子育て施設,保育園,内野保育園,印西市内野1-12,0476-46-1874,35.796794,140.124443
児童・子育て施設,保育園,高花保育園,印西市高花1-10,0476-46-7011,35.796746,140.137303
児童・子育て施設,保育園,西の原保育園,印西市西の原3-7,0476-45-0221,35.802952,140.155192
児童・子育て施設,保育園,もとの保育園,印西市滝野3-2,0476-97-2935,35.807511,140.178356
児童・子育て施設,学童クラブ,木刈学童クラブ,印西市木刈2-6,0476-46-8592,35.809643,140.106001
児童・子育て施設,学童クラブ,原山学童クラブ,印西市原山3-4,0476-46-3966,35.799159,140.13136
児童・子育て施設,学童クラブ,小倉台学童クラブ,印西市小倉台2-3,0476-46-6031,35.80433,140.11015
児童・子育て施設,学童クラブ,小倉台第２学童クラブ,印西市小倉台2-3,0476-47-2033,35.80433,140.11015
児童・子育て施設,学童クラブ,小倉台第３学童クラブ,印西市小倉台2-3,0476-85-6207,35.80433,140.11015
児童・子育て施設,学童クラブ,西の原学童クラブ,印西市西の原2-7,0476-45-1395,35.80143,140.15327
児童・子育て施設,学童クラブ,西の原第２学童クラブ,印西市西の原2-7,0476-46-5501,35.80143,140.15327
児童・子育て施設,学童クラブ,高花学童クラブ,印西市高花2-4,0476-46-1147,35.7973,140.137581
児童・子育て施設,学童クラブ,内野学童クラブ,印西市内野1-3,0476-46-5671,35.79705,140.12438
児童・子育て施設,学童クラブ,内野第２学童クラブ,印西市内野1-3,0476-45-7122,35.79705,140.12438
児童・子育て施設,学童クラブ,大森学童クラブ,印西市大森3313-1,0476-42-5814,35.835803,140.140688
児童・子育て施設,学童クラブ,原学童クラブ,印西市原3-5,0476-47-6220,35.79868,140.16436
児童・子育て施設,学童クラブ,原第２学童クラブ,印西市原3-5,0476-47-7210,35.79868,140.16436
児童・子育て施設,学童クラブ,原第３学童クラブ,印西市原3-5,0476-85-8771,35.79868,140.16436
児童・子育て施設,学童クラブ,いには野学童クラブ,印西市若萩3-9,0476-98-1198,35.789282,140.208555
児童・子育て施設,学童クラブ,平賀学童クラブ,印西市平賀1161-2,0476-98-3501,35.754572,140.247729
児童・子育て施設,学童クラブ,滝野学童クラブ,印西市滝野5-1,0476-97-2019,35.809457,140.175982
児童・子育て施設,学童クラブ,本埜学童クラブ,印西市中根1281-2,0476-97-1020,35.806945,140.195345
児童・子育て施設,学童クラブ,木下学童クラブ,印西市木下1493-29,0476-42-0061,35.839934,140.154951
児童・子育て施設,学童クラブ,小林学童クラブ,印西市小林北5-12-1,0476-80-8677,35.830089,140.196664
児童・子育て施設,学童クラブ,小林第２学童クラブ,印西市小林2441-2,0476-97-6261,35.829744,140.186815
児童・子育て施設,学童クラブ,六合学童クラブ,印西市瀬戸1580,0476-98-1128,35.777417,140.227022
児童・子育て施設,学童クラブ,牧の原学童クラブ,印西市牧の原3-1-2,0476-46-1400,35.812092,140.159996
教育施設,小学校,木下小学校,印西市木下1502,0476-42-2607,35.839008,140.15443
教育施設,小学校,小林小学校,印西市小林2448-2,0476-42-4311,35.831026,140.18754
教育施設,小学校,大森小学校,印西市大森3350,0476-42-2089,35.836525,140.14087
教育施設,小学校,船穂小学校,印西市船尾1292,0476-46-0023,35.783391,140.129051
教育施設,小学校,木刈小学校,印西市木刈2-6,0476-46-1755,35.810162,140.107066
教育施設,小学校,内野小学校,印西市内野1-1,0476-46-1781,35.797402,140.125281
教育施設,小学校,原山小学校,印西市原山3-4,0476-46-1701,35.799266,140.13026
教育施設,小学校,小林北小学校,印西市小林北5-1-5,0476-97-1100,35.832097,140.199022
教育施設,小学校,小倉台小学校,印西市小倉台2-3,0476-46-5711,35.804269,140.110045
教育施設,小学校,高花小学校,印西市高花2-4,0476-46-6211,35.797177,140.138453
教育施設,小学校,西の原小学校,印西市西の原2-7,0476-45-0150,35.800311,140.153282
教育施設,小学校,原小学校,印西市原3-5,0476-45-8611,35.799518,140.16374
教育施設,小学校,六合小学校,印西市瀬戸1580,0476-98-0006,35.777671,140.227734
教育施設,小学校,平賀小学校,印西市平賀1161-2,0476-98-1151,35.754849,140.246815
教育施設,小学校,いには野小学校,印西市若萩3-9,0476-98-2080,35.789731,140.208274
教育施設,小学校,滝野小学校,印西市滝野5-1,0476-97-1977,35.808444,140.175862
教育施設,小学校,牧の原小学校,印西市牧の原3-1-1,0476-29-5560,35.811459,140.160613
教育施設,小学校,本埜小学校,印西市中根1281-2,0476-97-0035,35.80637,140.194941
教育施設,中学校,印西中学校,印西市大森2244,0476-42-3151,35.828282,140.148324
教育施設,中学校,船穂中学校,印西市高花1-3,0476-46-0021,35.794956,140.132516
教育施設,中学校,木刈中学校,印西市木刈2-1,0476-46-1751,35.807072,140.109968
教育施設,中学校,小林中学校,印西市小林大門下1-4-1,0476-97-3100,35.823229,140.186539
教育施設,中学校,原山中学校,印西市原山1-2,0476-46-6911,35.799296,140.126585
教育施設,中学校,西の原中学校,印西市西の原1-3,0476-45-0160,35.803203,140.156367
教育施設,中学校,印旛中学校,印西市舞姫2-1-1,0476-98-0711,35.784709,140.20471
教育施設,中学校,本埜中学校,印西市笠神250,0476-97-0009,35.81646,140.199015
教育施設,中学校,滝野中学校,印西市滝野5-2,0476-97-1988,35.808142,140.175092
