施設名,設置場所,所在地,電話番号,緯度,経度
小倉台図書館,貸出カウンター前,印西市小倉台4-5,0476-47-5511,35.806067,140.112474
松山下公園総合体育館,1階　受付カウンター脇,印西市浦部275,0476-42-8417,35.824716,140.11372
松山下公園陸上競技場,事務所内,印西市浦部275,0476-42-8417,35.824141,140.115638
印西中学校,体育館,印西市大森2244,0476-42-3151,35.828282,140.148324
船穂中学校,体育館,印西市高花1-3,0476-46-0021,35.794956,140.132516
木刈中学校,体育館,印西市木刈2-1,0476-46-1751,35.807072,140.109968
原山中学校,体育館,印西市原山1-2,0476-46-6911,35.799296,140.126585
小林中学校,体育館,印西市小林大門下1-4-1,0476-97-3100,35.823229,140.186539
西の原中学校,体育館,印西市西の原1-3,0476-45-0160,35.803203,140.156367
印旛中学校,体育館,印西市舞姫2-1-1,0476-98-0711,35.784709,140.20471
本埜中学校,体育館,印西市笠神250,0476-97-0009,35.81646,140.199015
滝野中学校,体育館,印西市滝野5-2,0476-97-1988,35.808142,140.175092
木下小学校,体育館,印西市木下1502,0476-42-2607,35.839008,140.15443
小林小学校,体育館,印西市小林2554,0476-42-4311,35.831026,140.18754
大森小学校,体育館,印西市大森3350,0476-42-2089,35.836525,140.14087
船穂小学校,体育館,印西市船尾1292,0476-46-0023,35.783391,140.129051
木刈小学校,体育館,印西市木刈2-6,0476-46-1755,35.810162,140.107066
内野小学校,体育館,印西市内野1-1,0476-46-1781,35.797402,140.125281
原山小学校,体育館,印西市原山3-4,0476-46-1701,35.799266,140.13026
小林北小学校,体育館,印西市小林北5-1-5,0476-97-1100,35.832097,140.199022
小倉台小学校,体育館,印西市小倉台2-3,0476-46-5711,35.804269,140.110045
高花小学校,体育館,印西市高花2-4,0476-46-6211,35.797177,140.138453
西の原小学校,体育館,印西市西の原2-7,0476-45-0150,35.800311,140.153282
原小学校,体育館,印西市原3-5,0476-45-8611,35.799518,140.16374
牧の原小学校,体育館,印西市牧の原3-1-1,0476-29-5560,35.811459,140.160613
六合小学校,体育館,印西市瀬戸1580,0476-98-0006,35.777671,140.227734
（旧）宗像小学校,体育館,印西市岩戸1680,0476-99-0007,35.762932,140.168263
平賀小学校,体育館,印西市平賀1161-2,0476-98-1151,35.754849,140.246815
いには野小学校,体育館,印西市若萩3-9,0476-98-2080,35.789731,140.208274
本埜小学校,体育館,印西市中根1281-2,0476-97-0035,35.80637,140.194941
（旧）本埜第二小学校,体育館,印西市笠神1745,0476-97-0036,35.82714,140.214965
滝野小学校,体育館,印西市滝野5-1,0476-97-1977,35.808444,140.175862
もとの幼稚園,1階　昇降口付近,印西市中根1403-8,0476-97-1010,35.811471,140.199263
瀬戸幼稚園,1階　正面玄関,印西市瀬戸1580,0476-98-0434,35.7773,140.227412
もとの保育園,1階　ロビー,印西市滝野3-2,0476-97-2935,35.807511,140.178356
木刈保育園,1階　正面玄関,印西市木刈6-23,0476-46-1873,35.807788,140.10447
内野保育園,1階　正面玄関,印西市内野1-12,0476-46-1874,35.796794,140.124443
高花保育園,1階　正面玄関,印西市高花1-10,0476-46-7011,35.796746,140.137303
西の原保育園,1階　正面玄関,印西市西の原3-7,0476-45-0221,35.802952,140.155192
泉公園パークゴルフ場,事務所内,印西市泉野3-2,0476-46-2238,35.805788,140.1303
サザンプラザ,1階　事務室,印西市原山3-3,0476-45-0611,35.79879,140.129427
フレンドリープラザ,1階　事務室,印西市木刈4-3-1,0476-46-8611,35.809018,140.104955
永治プラザ,正面玄関,印西市浦部411-3,0476-42-1101,35.825243,140.109113
船穂コミュニティーセンター,1階　ロビー,印西市船尾786-1,0476-48-5311,35.78158,140.129417
印旛歴史民俗資料館,1階　ホール,印西市岩戸1742,0476-99-0002,35.762538,140.166995
印旛医科器械歴史資料館,1階　通路,印西市舞姫1-1-1,0476-98-1390,35.786878,140.202627
