"全国地方公共団体コード","ID","地方公共団体名","名称","名称_カナ","名称_英字","所在地_全国地方公共団体コード","町字ID","所在地_連結表記","所在地_都道府県","所在地_市区町村","所在地_町字以下","建物名等","高度の種別","高度の値","設置位置","電話番号","内線番号","連絡先メールアドレス","連絡先FORMURL","連絡先備考その他SNSなど","郵便番号","法人番号","団体名","利用可能曜日","開始時間","終了時間","利用可能日時特記事項","小児対応設備の有無","URL","画像1","画像1_ライセンス","画像2","画像2_ライセンス","外部利用不可","備考","経度","緯度","分類"
"122319","","千葉県印西市","サザンプラザ","サザンプラザ","","","","千葉県印西市原山3-3","千葉県","印西市","原山3-3","","","","１階　事務室脇（廊下側）","0476-45-0611","","","","","2701341","","","全日※","9:00","17:00","※第2・4木曜は休館。利用者がいる場合は最大21:00まで。年末年始は利用不可。","有","","","","","","","","140.12942380008","35.7987574898614","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","フレンドリープラザ","フレンドリープラザ","","","","千葉県印西市木刈4-3-1","千葉県","印西市","木刈4-3-1","","","","１階　事務室脇（ロビー側）","0476-46-8611","","","","","2701359","","","全日※","9:00","21:00","※第2・4木曜は休館。年末年始は利用不可。","有","","","","","","","","140.105070900024","35.809039009907","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","ふれあい文化館","フレアイブンカカン","","","","千葉県印西市原3-4","千葉県","印西市","原3-4","","","","1階 受付カウンター隣","0476-45-3800","","","","","2701335","","","火水木金土日","9:00","17:00※","※水・土のみ夜間開館がある場合は最大21時まで。月祝の場合は火曜も閉館。年末年始は利用不可。","有","","","","","","","","140.165203500024","35.7997457398996","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","小林コミュニティプラザ","コバヤシコミュニティプラザ","","","","千葉県印西市小林北5-1-6","千葉県","印西市","小林北5-1-6","","","","1階 受付カウンター隣","0476-97-0003","","","","","2701313","","","火水木金土日","9:00","17:00※","※水・土のみ夜間開館がある場合は最大21時まで。月祝の場合は火曜も閉館。年末年始は利用不可。","有","","","","","","","","140.197791600097","35.8319033998976","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","小倉台図書館","オグラダイトショカン","","","","千葉県印西市小倉台4-5","千葉県","印西市","小倉台4-5","","","","貸出カウンター前","0476-47-5511","","","","","2701356","","","火水木金土日","9:00","17:00※","※水曜（祝休日を除く）は19:00まで。月祝の場合は火曜も閉館。年末年始は利用不可。その他、特別整理期間等で臨時休館有。","有","","","","","","","","140.11248610012","35.8060499898742","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","中央公民館","チュウオウコウミンカン","","","","千葉県印西市大森3934-1","千葉県","印西市","大森3934-1","","","","１階ロビー 事務室前","0476-42-2911","","","","","2701327","","","火水木金土日","9:00","17:00","水・土のみ夜間開館がある場合は最大21時まで。月祝の場合は火曜も閉館。年末年始は利用不可。","有","","","","","","","","140.14664720003","35.8414122298869","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","印旛公民館","インバコウミンカン","","","","千葉県印西市瀬戸1518","千葉県","印西市","瀬戸1518","","","","1階　事務室内","0476-98-0427","","","","","2701614","","","火水木金土日","9:00","17:00","木・金のみ夜間開館がある場合は最大21時まで。月祝の場合は火閉館。年末年始は利用不可。","有","","","","","","","","140.222982899974","35.7804229799769","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","本埜公民館　※備考有","モトノコウミンカン","","","","千葉県印西市中根1375","千葉県","印西市","中根1375","","","","1階　ロビー","0476-97-2011","","","","","2702324","","","火水木金土日","9:00","17:00","火・木のみ夜間開館がある場合は最大21時まで。月祝の場合は火閉館。年末年始は利用不可。","有","","","","","","","令和7年3月31日まで保全改修工事のため休館。","140.199423399954","35.8102283699763","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","文化ホール","ブンカホール","","","","千葉県印西市大森2535","千葉県","印西市","大森2535","","","","1階 ロビー","0476-42-8811","","","","","2701327","","","火水木金土日","9:00","21:30","月祝の場合は月曜開館、火曜閉館。年末年始は利用不可。","有","","","","","","","","140.145800399988","35.8333211698976","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","印旛医科器械歴史資料館","インバイカキキレキシシリョウカン","","","","千葉県印西市舞姫1-1-1","千葉県","印西市","舞姫1-1-1","","","","１階　通路","0476-98-1390","","","","","2701608","","","月水金","10:00","16:00","年末年始は利用不可。","有","","","","","","","","140.202603500015","35.7868394899233","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","木下交流の杜歴史資料センター","キオロシコウリュウノモリレキシシリョウセンター","","","","千葉県印西市木下1489-1","千葉県","印西市","木下1489-1","","","","1階　ロビー","0476-40-3500","","","","","2701326","","","火水木金土日","9:00","17:00","年末年始、祝日は利用不可。","有","","","","","","","","140.155362200027","35.8381421198469","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","印西中学校","インザイチュウガッコウ","","","","千葉県印西市大森2244","千葉県","印西市","大森2244","","","","体育館","0476-42-3151","","","","","2701327","","","","8:00","16:00","学校登校日のみ利用可。年末年始は利用不可。","有","","","","","","","","140.147649300047","35.8282905998979","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","船穂中学校","フナホチュウガッコウ","","","","千葉県印西市高花1-3","千葉県","印西市","高花1-3","","","","体育館","0476-46-0021","","","","","2701342","","","","8:00","16:00","学校登校日のみ利用可。年末年始は利用不可。","有","","","","","","","","140.132331900114","35.7952634598634","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","木刈中学校","キカリチュウガッコウ","","","","千葉県印西市木刈2-1","千葉県","印西市","木刈2-1","","","","体育館","0476-46-1751","","","","","2701359","","","","8:00","16:00","学校登校日のみ利用可。年末年始は利用不可。","有","","","","","","","","140.110000900108","35.8070764398723","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","原山中学校","ハラヤマチュウガッコウ","","","","千葉県印西市原山1-2","千葉県","印西市","原山1-2","","","","体育館","0476-46-6911","","","","","2701341","","","","8:00","16:00","学校登校日のみ利用可。年末年始は利用不可。","有","","","","","","","","140.127205200067","35.7990279898651","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","西の原中学校","ニシノハラチュウガッコウ","","","","千葉県印西市西の原1-3","千葉県","印西市","西の原1-3","","","","体育館","0476-46-0160","","","","","2701334","","","","8:00","16:00","学校登校日のみ利用可。年末年始は利用不可。","有","","","","","","","","140.156924399994","35.8031042298646","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","小林中学校","コバヤシチュウガッコウ","","","","千葉県印西市小林大門下1-4-1","千葉県","印西市","小林大門下1-4-1","","","","体育館","0476-97-3100","","","","","2701316","","","","8:00","16:00","学校登校日のみ利用可。年末年始は利用不可。","有","","","","","","","","140.186890099967","35.8235545599017","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","印旛中学校","インバチュウガッコウ","","","","千葉県印西市舞姫2-1-1","千葉県","印西市","舞姫2-1-1","","","","体育館","0476-98-0711","","","","","2701608","","","","8:00","16:00","学校登校日のみ利用可。年末年始は利用不可。","有","","","","","","","","140.204762000002","35.7850946999568","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","本埜中学校","モトノチュウガッコウ","","","","千葉県印西市笠神250","千葉県","印西市","笠神250","","","","体育館","0476-97-0009","","","","","2702322","","","","8:00","16:00","学校登校日のみ利用可。年末年始は利用不可。","有","","","","","","","","140.198827399986","35.8166886499833","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","滝野中学校","タキノチュウガッコウ","","","","千葉県印西市滝野5-2","千葉県","印西市","滝野5-2","","","","体育館","0476-97-1988","","","","","2702329","","","","8:00","16:00","学校登校日のみ利用可。年末年始は利用不可。","有","","","","","","","","140.174714000086","35.8085707198813","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","木下小学校","キオロシショウガッコウ","","","","千葉県印西市木下1502","千葉県","印西市","木下1502","","","","体育館","0476-42-2607","","","","","2701326","","","","8:00","16:00","学校登校日のみ利用可。年末年始は利用不可。","有","","","","","","","","140.154486700017","35.8393812598656","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","小林小学校","コバヤシショウガッコウ","","","","千葉県印西市小林2554","千葉県","印西市","小林2554","","","","体育館","0476-42-4311","","","","","2701318","","","","8:00","16:00","学校登校日のみ利用可。年末年始は利用不可。","有","","","","","","","","140.187532300019","35.8312854899186","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","原山小学校","ハラヤマショウガッコウ","","","","千葉県印西市原山3-4","千葉県","印西市","原山3-4","","","","体育館","0476-46-1701","","","","","2701341","","","","8:00","16:00","学校登校日のみ利用可。年末年始は利用不可。","有","","","","","","","","140.13061470009","35.7996606598584","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","小林北小学校","コバヤシキタショウガッコウ","","","","千葉県印西市小林北5-1-5","千葉県","印西市","小林北5-1-5","","","","体育館","0476-97-1100","","","","","2701313","","","","8:00","16:00","学校登校日のみ利用可。年末年始は利用不可。","有","","","","","","","","140.198326400094","35.8317990798914","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","原小学校","ハラショウガッコウ","","","","千葉県印西市原3-5","千葉県","印西市","原3-5","","","","体育館","0476-45-8611","","","","","2701335","","","","8:00","16:00","学校登校日のみ利用可。年末年始は利用不可。","有","","","","","","","","140.16381550002","35.7994036698962","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","六合小学校","ロクゴウショウガッコウ","","","","千葉県印西市瀬戸1580","千葉県","印西市","瀬戸1580","","","","体育館","0476-98-0006","","","","","2701614","","","","8:00","16:00","学校登校日のみ利用可。年末年始は利用不可。","有","","","","","","","","140.227653300038","35.7776422299308","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","高花小学校","タカバナショウガッコウ","","","","千葉県印西市高花2-4","千葉県","印西市","高花2-4","","","","体育館","0476-46-6211","","","","","2701342","","","","8:00","16:00","学校登校日のみ利用可。年末年始は利用不可。","有","","","","","","","","140.138775400066","35.7971772198662","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","平賀小学校","ヒラカショウガッコウ","","","","千葉県印西市平賀1161-2","千葉県","印西市","平賀1161-2","","","","体育館","0476-98-1151","","","","","2701605","","","","8:00","16:00","学校登校日のみ利用可。年末年始は利用不可。","有","","","","","","","","140.247083999954","35.7550416698894","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","いには野小学校","イニハノショウガッコウ","","","","千葉県印西市若萩3-9","千葉県","印西市","若萩3-9","","","","体育館","0476-98-2080","","","","","2701609","","","","8:00","16:00","学校登校日のみ利用可。年末年始は利用不可。","有","","","","","","","","140.20772649995","35.7898284798598","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","滝野小学校","タキノショウガッコウ","","","","千葉県印西市滝野5-1","千葉県","印西市","滝野5-1","","","","体育館","0476-97-1977","","","","","2702329","","","","8:00","16:00","学校登校日のみ利用可。年末年始は利用不可。","有","","","","","","","","140.175757100078","35.8091200898803","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","牧の原小学校","マキノハラショウガッコウ","","","","千葉県印西市牧の原3-1-1","千葉県","印西市","牧の原3-1-1","","","","体育館","0476-29-5560","","","","","2701331","","","","8:00","16:00","学校登校日のみ利用可。年末年始は利用不可。","有","","","","","","","","140.160773500074","35.8119874499303","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","大森小学校","オオモリショウガッコウ","","","","千葉県印西市大森3350","千葉県","印西市","大森3350","","","","体育館","0476-42-2089","","","","","2701327","","","","8:00","16:00","学校登校日のみ利用可。年末年始は利用不可。","有","","","","","","","","140.140923899966","35.8362429599155","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","船穂小学校","フナホショウガッコウ","","","","千葉県印西市船尾1292","千葉県","印西市","船尾1292","","","","体育館","0476-46-0023","","","","","2701345","","","","8:00","16:00","学校登校日のみ利用可。年末年始は利用不可。","有","","","","","","","","140.128981399979","35.7836920399335","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","内野小学校","ウチノショウガッコウ","","","","千葉県印西市内野1-1","千葉県","印西市","内野1-1","","","","体育館","0476-46-1781","","","","","2701347","","","","8:00","16:00","学校登校日のみ利用可。年末年始は利用不可。","有","","","","","","","","140.125169000037","35.7979633498674","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","木刈小学校","キカリショウガッコウ","","","","千葉県印西市木刈2-6","千葉県","印西市","木刈2-6","","","","体育館","0476-46-1755","","","","","2701359","","","","8:00","16:00","学校登校日のみ利用可。年末年始は利用不可。","有","","","","","","","","140.106586700007","35.8103161899085","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","小倉台小学校","オグラダイショウガッコウ","","","","千葉県印西市小倉台2-3","千葉県","印西市","小倉台2-3","","","","体育館","0476-46-5711","","","","","2701356","","","","8:00","16:00","学校登校日のみ利用可。年末年始は利用不可。","有","","","","","","","","140.109690100168","35.804218079845","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","西の原小学校","ニシノハラショウガッコウ","","","","千葉県印西市西の原2-7","千葉県","印西市","西の原2-7","","","","体育館","0476-45-0150","","","","","2701334","","","","8:00","16:00","学校登校日のみ利用可。年末年始は利用不可。","有","","","","","","","","140.152297299965","35.80034908987","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","本埜小学校","モトノショウガッコウ","","","","千葉県印西市中根1281-2","千葉県","印西市","中根1281-2","","","","体育館","0476-97-0035","","","","","2702324","","","","8:00","16:00","学校登校日のみ利用可。年末年始は利用不可。","有","","","","","","","","140.19502480001","35.8067301098844","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","瀬戸幼稚園","セトヨウチエン","","","","千葉県印西市瀬戸1580","千葉県","印西市","瀬戸1580","","","","フリースペース","0476-98-0434","","","","","2701614","","","","9:00","14:00","年末年始、祝日は利用不可。","有","","","","","","","","140.227653300038","35.7776422299308","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","もとの幼稚園","モトノヨウチエン","","","","千葉県印西市中根1403-8 10","千葉県","印西市","中根1403-8-10","","","","昇降口奥","0476-97-1010","","","","","2702324","","","月火水木金","9:00","14:00","年末年始、祝日は利用不可。","有","","","","","","","","140.199457599939","35.8112694099976","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","もとの保育園","モトノホイクエン","","","","千葉県印西市滝野3-2","千葉県","印西市","滝野3-2","","","","１階　正面玄関","0476-46-1874","","","","","2701347","","","月火水木金土","7:00","19:00※","※土曜のみ17:00まで。年末年始、祝日は利用不可。","有","","","","","","","","140.178250800065","35.8074301598864","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","木刈保育園","キカリホイクエン","","","","千葉県印西市木刈6-23","千葉県","印西市","木刈6-23","","","","１階　正面玄関","0476-46-7011","","","","","2701342","","","月火水木金土","7:00","19:00※","※土曜のみ17:00まで。年末年始、祝日は利用不可。","有","","","","","","","","140.104498100049","35.8077263599062","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","内野保育園","ウチノホイクエン","","","","千葉県印西市内野1-12","千葉県","印西市","内野1-12","","","","１階　正面玄関","0476-45-0221","","","","","2701334","","","月火水木金土","7:00","19:00※","※土曜のみ17:00まで。年末年始、祝日は利用不可。","有","","","","","","","","140.124574900011","35.7967287398665","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","高花保育園","タカバナホイクエン","","","","千葉県印西市高花1-10","千葉県","印西市","高花1-10","","","","１階　正面玄関","0476-33-4404","","","","","2701344","","","月火水木金土","7:00","19:00※","※土曜のみ17:00まで。年末年始、祝日は利用不可。","有","","","","","","","","140.137286500089","35.7966751598657","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","西の原保育園","ニシノハラホイクエン","","","","千葉県印西市西の原3-7","千葉県","印西市","西の原3-7","","","","受付カウンター脇","0476-47-1111","","","","","2701335","","","月火水木金土","7:00","19:00※","※土曜のみ17:00まで。年末年始、祝日は利用不可。","有","","","","","","","","140.155305599979","35.8028430198642","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","中央学校給食センター","チュウオウガッコウキュウショクセンター","","","","千葉県印西市鹿黒南1-5","千葉県","印西市","鹿黒南1-5","","","","職員玄関入口","0476-33-3316","","","","","2701369","","","月火水木金","9:00","17:15","年末年始、祝日は利用不可。","有","","","","","","","","140.128076100051","35.8161280398959","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","ふれあいサポートセンターいんざい","フレアイサポートセンターインザイ","","","","千葉県印西市木下804番地１","千葉県","印西市","木下804-1","","","","事務所内","0476-42-1118","","","","","2701326","","","月火水木金","9:00","17:00","年末年始は利用不可。","有","","","","","","","","140.155203500032","35.8368179298322","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","泉公園パークゴルフ場","イズミコウエンパークゴルフジョウ","","","","千葉県印西市泉野3-2","千葉県","印西市","泉野3-2","","","","事務所内","0476-46-2238","","","","","2701360","","","火水木金土日","9:00","","終了時間：3月～10月は17:00、11月～2月は16:30.月祝の場合は火曜休場。その他、悪天候により臨時休場有。","有","","","","","","","","140.130272500086","35.8055317498516","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","松山下公園陸上競技場","マツヤマシタコウエンリクジョウキョウギジョウ","","","","千葉県印西市浦部275","千葉県","印西市","浦部275","","","","１階　受付左脇","0476-42-8417","","","","","2701367","","","全日","9:00","17:00","年末年始は利用不可。","有","","","","","","","","140.115614300049","35.8241340799219","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","松山下公園総合体育館","マツヤマシタコウエンソウゴウタイイクカン","","","","千葉県印西市浦部275","千葉県","印西市","浦部275","","","","体育館","0476-42-8417","","","","","2701367","","","全日","9:00","21:00※","※月祝の場合は17:00まで。年末年始は利用不可。","有","","","","","","","","140.114117800054","35.8246344499114","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","旧宗像小学校","キュウムナカタショウガッコウ","","","","千葉県印西市岩戸1680","千葉県","印西市","岩戸1680","","","","体育館","0476-47-2111","","","","","2701342","","","月火水木金","8:00","16:00","年末年始、祝日は利用不可。","有","","","","","","","","140.168439199989","35.7634036299388","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","旧本埜第二小学校","キュウモトノダイニショウガッコウ","","","","千葉県印西市笠神1745","千葉県","印西市","笠神1745","","","","1階 ロビー","0476-97-2935","","","","","2702329","","","月火水木金","8:00","16:00","年末年始、祝日は利用不可。","有","","","","","","","","140.214685100051","35.8272443998276","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","保健福祉センター","ホケンフクシセンター","","","","千葉県印西市高花2-1-5","千葉県","印西市","高花2-1-5","","","","１階　正面玄関","0476-46-1873","","","","","2701359","","","月火水木金土","8:30","17:15","年末年始、祝日は利用不可。","有","","","","","","","","140.138914600055","35.798040919864","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","印旛歴史民俗資料館","インバレキシミンゾクシリョウカン","","","","千葉県印西市岩戸1742","千葉県","印西市","岩戸1742","","","","1階　事務室脇","0476-46-5111","","","","","2701340","","","火水木金土日","9:00","17:00","年末年始、祝日は利用不可。月曜祝日の場合は開館、火曜休館。","有","","","","","","","","140.166878700012","35.7625850999475","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","中央駅前地域交流館　１号館","チュウオウエキマエコウリュウカンイチゴウカン","","","","千葉県印西市中央南1-2","千葉県","印西市","中央南1-2","","","","1階　中央駅前出張所自動ドア脇","0476-46-5111","","","","","2701340","","","火水木金土日","9:00","17:00※","※水・土のみ夜間開館がある場合は最大21時まで。年末年始、祝日は利用不可。月曜祝日の場合は火曜も休館。","有","","","","","","","","140.119375800089","35.8002784198751","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","中央駅前地域交流館　２号館","チュウオウエキマエコウリュウカンニゴウカン","","","","千葉県印西市中央南1-4-1","千葉県","印西市","中央南1-4-1","","","","1階　ロビー","0476-80-8181","","","","","2702329","","","火水木金土日","9:00","17:15※","※水・土のみ夜間開館がある場合は最大21時まで。年末年始、祝日は利用不可。月曜祝日の場合は火曜も休館。","有","","","","","","","","140.119563100078","35.7997823498747","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","本埜ファミリア館","モトノファミリアカン","","","","千葉県印西市滝野3-4","千葉県","印西市","滝野3-4","","","","2階　健康づくりセンター前の廊下","0476-47-4700","","","","","2701337","","","全日","9:00","17:00","年末年始は利用不可。","有","","","","","","","","140.177475400071","35.8066836398881","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","中央保健センター","チュウオウホケンセンター","","","","千葉県印西市大森2356-3","千葉県","印西市","大森2356-3","","","","１階　正面玄関横","0476-42-5595","","","","","2701327","","","月火水木金","8:30","17:15","年末年始、祝日は利用不可。","有","","","","","","","","140.144433000005","35.8324135798961","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","セブンイレブン印西大森","セブンイレブンインザイオオモリ","","","","千葉県印西市大森2589-1","千葉県","印西市","大森2589-1","","","","カウンター内","0476-42-2484","","","","","2701327","","","全日","","","24時間営業","有","","","","","","","","140.142516299985","35.8342487098968","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","セブンイレブン印西竹袋","セブンイレブンインザイタケフクロ","","","","千葉県印西市木下南2-19-3","千葉県","印西市","木下南2-19-3","","","","カウンター内","0476-40-2223","","","","","2701328","","","全日","","","24時間営業","有","","","","","","","","140.155052500017","35.8346776396902","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","セブンイレブン印西相嶋","セブンイレブンインザイアイジマ","","","","千葉県印西市相嶋196","千葉県","印西市","相嶋196","","","","カウンター内","0476-42-7008","","","","","2701321","","","全日","","","24時間営業","有","","","","","","","","140.143044000086","35.8445261998814","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","セブンイレブン印西別所","セブンイレブンインザイベッショ","","","","千葉県印西市別所字南内野1243-2","千葉県","印西市","別所字南内野1243-2","","","","カウンター内","0476-42-6777","","","","","2701325","","","全日","","","24時間営業","有","","","","","","","","140.165894399992","35.8246437399607","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","セブンイレブン印西大塚","セブンイレブンインザイオオツカ","","","","千葉県印西市大塚3-1","千葉県","印西市","大塚3-1","","","","カウンター内","0476-47-1908","","","","","2701352","","","全日","","","24時間営業","有","","","","","","","","140.11852640004","35.8102098499474","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","セブンイレブン印西牧の原","セブンイレブンインザイマキノハラ","","","","千葉県印西市原2-1","千葉県","印西市","原2-1","","","","カウンター内","0476-45-1372","","","","","2701335","","","全日","","","24時間営業","有","","","","","","","","140.167043700032","35.8008218798976","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","セブンイレブン印西小林","セブンイレブンインザイコバヤシ","","","","千葉県印西市小林大門下1-6-1","千葉県","印西市","小林大門下1-6-1","","","","カウンター内","0476-80-8003","","","","","2701316","","","全日","","","24時間営業","有","","","","","","","","140.18854849998","35.8227928098985","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","セブンイレブン印西東の原","セブンイレブンインザイヒガシノハラ","","","","千葉県印西市東の原1-1-1","千葉県","印西市","東の原1-1-1","","","","カウンター内","0476-97-5331","","","","","2701336","","","全日","","","24時間営業","有","","","","","","","","140.173866200015","35.8003322499117","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","セブンイレブン印西高花団地前","セブンイレブンインザイタカバナダンチマエ","","","","千葉県印西市草深206-7","千葉県","印西市","草深206-7","","","","カウンター内","0476-47-7667","","","","","2701337","","","全日","","","24時間営業","有","","","","","","","","140.142424300015","35.7939781298862","オープンデータ_AED設置個所一覧"
