全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,医療機関の種類,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,FAX番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,法人の名称,医療機関コード,診療曜日,診療開始時間,診療終了時間,診療日時特記事項,時間外における対応,診療科目,病床数,災害拠点分類,状況,URL,画像,画像_ライセンス,備考
122319,,千葉県印西市,高花歯科クリニック,タカバナシカクリニック,,歯科,,,千葉県印西市高花５－２－１,千葉県,印西市,,,,,,,,(0476)46-8241,,,,,,,,,,,,,,,,,,,,,,
122319,,千葉県印西市,滝野歯科医院,タキノシカイイン,,歯科,,,千葉県印西市滝野２－１－３,千葉県,印西市,,,,,,,,(0476)80-9511,,,,,,,,,,,,,,,,,,,,,,
122319,,千葉県印西市,千葉ニュータウン河合歯科矯正歯科,チバニュータウンカワイシカキョウセイシカ,,歯科,,,千葉県印西市中央北１－４６９（アルカサール２F）,千葉県,印西市,,,,,,,,(0476)40-0040,,,,,,,,,,,,,,,,,,,,,,
122319,,千葉県印西市,千葉ニュータウンごう歯科クリニック,チバニュータウンゴウシカクリニック,,歯科,,,千葉県印西市泉野１－１４４－６（ベイシア千葉ニュータウン店内）,千葉県,印西市,,,,,,,,(0476)29-5581,,,,,,,,,,,,,,,,,,,,,,
122319,,千葉県印西市,千葉ニュータウン中央つきのわ歯科,チバニュータウンチュウオウツキノワシカ,,歯科,,,千葉県印西市中央南２－２－１（フォルテ千葉ニュータウン２F）,千葉県,印西市,,,,,,,,(0476)37-8456,,,,,,,,,,,,,,,,,,,,,,
122319,,千葉県印西市,千葉ニュータウン中央ひの歯科,チバニュータウンチュウオウヒノシカ,,歯科,,,千葉県印西市中央北1-1　ＡＰＯＬＬＯ　ＰＬＡＮＴ　ＭＡＬＬ　2階,千葉県,印西市,,,,,,,,(0476)85-8388,,,,,,,,,,,,,,,,,,,,,,
122319,,千葉県印西市,千葉ニュータウンデンタルクリニック,チバニュータウンデンタルクリニック,,歯科,,,千葉県印西市内野１－５－４,千葉県,印西市,,,,,,,,(0476)85-8977,,,,,,,,,,,,,,,,,,,,,,
122319,,千葉県印西市,西の原歯科クリニック,ニシノハラシカクリニック,,歯科,,,千葉県印西市西の原３－１１,千葉県,印西市,,,,,,,,(0476)46-1818,,,,,,,,,,,,,,,,,,,,,,
122319,,千葉県印西市,ニュータウン中央歯科室,ニュータウンチュウオウシカシツ,,歯科,,,千葉県印西市中央北２－１－３（サンクタス千葉ニュータウン中央１F),千葉県,印西市,,,,,,,,(0476)40-1231,,,,,,,,,,,,,,,,,,,,,,
122319,,千葉県印西市,のざき歯科クリニック,ノザキシクリニック,,歯科,,,千葉県印西市草深１６１８－１６,千葉県,印西市,,,,,,,,(0476)33-7294,,,,,,,,,,,,,,,,,,,,,,
122319,,千葉県印西市,フォレストモール印西歯科,フォレストモールインザイシカ,,歯科,,,千葉県印西市滝野３－１（フォレストモール印西牧の原内）,千葉県,印西市,,,,,,,,(0476)29-5650,,,,,,,,,,,,,,,,,,,,,,
122319,,千葉県印西市,ほりえ歯科医院,ホリエシカイイン,,歯科,,,千葉県印西市結縁寺５２５－３,千葉県,印西市,,,,,,,,(0476)46-8889,,,,,,,,,,,,,,,,,,,,,,
122319,,千葉県印西市,牧の原モアはとがい歯科,マキノハラモアハトガイシカ,,歯科,,,千葉県印西市牧の原１－３(牧の原モア内),千葉県,印西市,,,,,,,,(0476)37-8080,,,,,,,,,,,,,,,,,,,,,,
122319,,千葉県印西市,宮本歯科医院,ミヤモトシカイイン,,歯科,,,千葉県印西市原山１－７－３,千葉県,印西市,,,,,,,,(0476)45-0777,,,,,,,,,,,,,,,,,,,,,,
122319,,千葉県印西市,もとうち歯科医院,モトウチシカイイン,,歯科,,,千葉県印西市草深２０５－４,千葉県,印西市,,,,,,,,(0476)46-8411,,,,,,,,,,,,,,,,,,,,,,
122319,,千葉県印西市,ユキ・デンタルクリニック,ユキ・デンタルクリニック,,歯科,,,千葉県印西市原山２－１１,千葉県,印西市,,,,,,,,(0476)47-0418,,,,,,,,,,,,,,,,,,,,,,
122319,,千葉県印西市,安孫子内科胃腸科クリニック,アビコナイカイチョウカクリニック,,診療所,,,千葉県印西市大森３４１７－２,千葉県,印西市,,,,,,,,(0476)42-2649,,,,,,,,,,,,,,,内科;胃腸科,,,,,,,
122319,,千葉県印西市,あんべこどもクリニック,アンベコドモクリニック,,診療所,,,千葉県印西市竜腹寺３５０－２,千葉県,印西市,,,,,,,,(0476)80-9611,,,,,,,,,,,,,,,"小児科;アレルギー科
",,,,,,,
122319,,千葉県印西市,いしばし内科クリニック,イシバシナイカクリニック,,診療所,,,千葉県印西市鎌苅２０９２－１,千葉県,印西市,,,,,,,,(0476)80-5180,,,,,,,,,,,,,,,内科;循環器内科;小児科,,,,,,,
122319,,千葉県印西市,岩井内科クリニック,イワイナイカクリニック,,診療所,,,千葉県印西市高花５－１－１,千葉県,印西市,,,,,,,,(0476)46-7665,,,,,,,,,,,,,,,内科;胃腸科;循環器科,,,,,,,
122319,,千葉県印西市,いんざいさくらクリニック,インザイサクラクリニック,,診療所,,,千葉県印西市原１－２（ビッグホップ内）,千葉県,印西市,,,,,,,,(0476)85-4700,,,,,,,,,,,,,,,内科;小児科;訪問診療;腎臓内科;人工透析,,,,,,,
122319,,千葉県印西市,印西診療所,インザイシンリョウジョ,,診療所,,,千葉県印西市大森２５５０－１０,千葉県,印西市,,,,,,,,(0476)42-5011,,,,,,,,,,,,,,,内科;外科;胃腸外科;小児科;呼吸器内科;循環器内科;泌尿器科,,,,,,,
122319,,千葉県印西市,印西総合病院,インザイソウゴウビョウイン,,病院,,,千葉県印西市牧の台１－１－１,千葉県,印西市,,,,,,,,(0476)33-3000,,,,,,,,,,,,,,,婦人科;小児科;内科;整形外科;外科;リハビリテーション科;皮膚科;乳腺外科;循環器内科;耳鼻咽喉科;神経内科;泌尿器科;脳神経外科;呼吸器内科;眼科;麻酔科;形成外科;心臓血管外科,,,,,,,
122319,,千葉県印西市,印西そよかぜ内科・呼吸器内科,インザイソヨカゼナイカ・コキュウキナイカ,,診療所,,,千葉県印西市西の原５－１２－１　印西クリニックビル１Ｆ,千葉県,印西市,,,,,,,,(0476)37-6700,,,,,,,,,,,,,,,内科;呼吸器内科,,,,,,,
122319,,千葉県印西市,印西ほがらかクリニック,インザイホガラカクリニック,,診療所,,,千葉県印西市原１－２（ビッグホップ内）,千葉県,印西市,,,,,,,,(0476)94-5757,,,,,,,,,,,,,,,内科,,,,,,,
122319,,千葉県印西市,内野診療所,ウチノシンリョウジョ,,診療所,,,千葉県印西市内野１－５－５,千葉県,印西市,,,,,,,,(0476)46-3621,,,,,,,,,,,,,,,内科;循環器科;呼吸器科;小児科;泌尿器科;皮膚科,,,,,,,
122319,,千葉県印西市,おかにわクリニック,オカニワクリニック,,診療所,,,千葉県印西市草深１２０３－９,千葉県,印西市,,,,,,,,(0476)47-2100,,,,,,,,,,,,,,,アレルギー科;小児科;内科;皮膚科,,,,,,,
122319,,千葉県印西市,亀谷アイクリニック,カメヤアイクリニック,,診療所,,,千葉県印西市鎌苅２００４－１２,千葉県,印西市,,,,,,,,(0476)94-5130,,,,,,,,,,,,,,,眼科,,,,,,,
122319,,千葉県印西市,木刈クリニック,キカリクリニック,,診療所,,,千葉県印西市木刈４－３－２,千葉県,印西市,,,,,,,,(0476)46-8707,,,,,,,,,,,,,,,内科;胃腸科;外科,,,,,,,
122319,,千葉県印西市,コスモス皮膚科,コスモスヒフカ,,診療所,,,千葉県印西市中央北１－１APOLLO PLANT MALL ２F,千葉県,印西市,,,,,,,,(0476)47-0011,,,,,,,,,,,,,,,一般皮膚科;小児皮膚科;アレルギー科;美容皮膚科;形成外科,,,,,,,
122319,,千葉県印西市,斉藤おとな＆こども眼科クリニック,サイトウオトナアンドコドモガンカクリニック,,診療所,,,千葉県印西市高花５－１－３,千葉県,印西市,,,,,,,,(0476)47-0303,,,,,,,,,,,,,,,眼科,,,,,,,
122319,,千葉県印西市,斉藤おとな＆こどもクリニック,サイトウオトナアンドコドモクリニック,,診療所,,,千葉県印西市木刈４－３－４,千葉県,印西市,,,,,,,,(0476)47-0099,,,,,,,,,,,,,,,外科;胃腸科;肛門科;整形外科;リハビリテーション科;内科;皮膚科,,,,,,,
122319,,千葉県印西市,すこやか内科クリニック印西,スコヤカナイカクリニックインザイ,,診療所,,,千葉県印西市戸神６０４－１６,千葉県,印西市,,,,,,,,(0476)33-6585,,,,,,,,,,,,,,,一般内科;糖尿病内科;腎臓内科,,,,,,,
122319,,千葉県印西市,すずき小倉台医院,スズキオグラダイイイン,,診療所,,,千葉県印西市小倉台４－１２,千葉県,印西市,,,,,,,,(0476)47-3766,,,,,,,,,,,,,,,内科;呼吸器内科;小児科;アレルギー科,,,,,,,
122319,,千葉県印西市,鈴木整形外科,スズキセイケイゲカ,,診療所,,,千葉県印西市高花５－１－２,千葉県,印西市,,,,,,,,(0476)47-0771,,,,,,,,,,,,,,,整形外科;理学診療科;皮膚科,,,,,,,
122319,,千葉県印西市,スマイル心療内科クリニック,スマイルシンリョウナイカクリニック,,診療所,,,千葉県印西市牧の原３－４－３０,千葉県,印西市,,,,,,,,(0476)85-5001,,,,,,,,,,,,,,,心療内科;精神科;総合内科,,,,,,,
122319,,千葉県印西市,清宮クリニック,キヨミヤクリニック,,診療所,,,千葉県印西市西の原３－１２－１,千葉県,印西市,,,,,,,,"(0476)33-3077
",,,,,,,,,,,,,,,"内科;循環器内科;呼吸器内科
",,,,,,,
122319,,千葉県印西市,千葉新都市ラーバンクリニック,チバシントシラーバンクリニック,,診療所,,,千葉県印西市草深１３８,千葉県,印西市,,,,,,,,(0476)40-7711,,,,,,,,,,,,,,,脳神経外科;脳神経内科;泌尿器科;糖尿病・代謝内科;循環器内科;消化器科;リハビリテーション科;総合診療科,,,,,,,
122319,,千葉県印西市,千葉ニュータウン駅前こどもクリニック,チバニュータウンエキマエコドモクリニック,,診療所,,,千葉県印西市中央北1-1　APOLLO　ＰＬＡＮＴ　ＭＡＬＬ　2F,千葉県,印西市,,,,,,,,(0476)85-5511,,,,,,,,,,,,,,,小児科;アレルギー科,,,,,,,
122319,,千葉県印西市,千葉ニュータウン駅前つかだクリニック,チバニュータウンエキマエツカダクリニック,,診療所,,,千葉県印西市中央北1-1　APOLLO　ＰＬＡＮＴ　ＭＡＬＬ　2F,千葉県,印西市,,,,,,,,(0476)48-2000,,,,,,,,,,,,,,,内科;乳腺外科;消化器内科,,,,,,,
122319,,千葉県印西市,千葉ニュータウンクリニック,チバニュータウンクリニック,,診療所,,,千葉県印西市内野１－５－１,千葉県,印西市,,,,,,,,(0476)46-4744,,,,,,,,,,,,,,,外科;胃腸科;整形外科;泌尿器科;肛門科;内科,,,,,,,
122319,,千葉県印西市,千葉ニュータウンサザンクリニック,チバニュータウンサザンクリニック,,診療所,,,千葉県印西市中央南１－７－４,千葉県,印西市,,,,,,,,(0476)85-4744,,,,,,,,,,,,,,,内科;血液内科;胃腸内科;消化器内科;内視鏡内科,,,,,,,
122319,,千葉県印西市,千葉ニュータウン中央ヒフ科クリニック,チバニュータウンチュウオウヒフカクリニック,,診療所,,,"千葉県印西市中央南２－２－１
（フォルテ千葉ニュータウン２F）",千葉県,印西市,,,,,,,,(0476)94-5805,,,,,,,,,,,,,,,皮膚科;小児皮膚科;アレルギー科;美容皮膚科,,,,,,,
122319,,千葉県印西市,千葉ニュータウンレディースクリニック,チバニュータウンレディースクリニック,,診療所,,,千葉県印西市中央北２－１－３（サンクタス千葉ニュータウン中央１F),千葉県,印西市,,,,,,,,(0476)47-2227,,,,,,,,,,,,,,,産科;婦人科,,,,,,,
122319,,千葉県印西市,千葉北総内科クリニック,チバホクソウナイカクリニック,,診療所,,,千葉県印西市草深２２２１－３,千葉県,印西市,,,,,,,,(0476)40-7431,,,,,,,,,,,,,,,内科;人工透析内科;腎臓内科,,,,,,,
122319,,千葉県印西市,つがねさわ医院,ツガネサワイイン,,診療所,,,千葉県印西市平賀１８７０－３,千葉県,印西市,,,,,,,,(0476)80-3616/(0476)80-3622,,,,,,,,,,,,,,,内科;神経内科;糖尿病・内分泌内科;消化器内科,,,,,,,
122319,,千葉県印西市,つちや耳鼻咽喉科医院,ツチヤジビインコウカイイン,,診療所,,,千葉県印西市草深１２０３－１０,千葉県,印西市,,,,,,,,"(0476)47-3387
",,,,,,,,,,,,,,,耳鼻咽喉科,,,,,,,
122319,,千葉県印西市,Ｄｒ．Ｋクリニック,ドクターケイクリニック,,診療所,,,千葉県印西市平賀３７８０,千葉県,印西市,,,,,,,,(0476)98-1711,,,,,,,,,,,,,,,リハビリテーション科;整形外科,,,,,,,
122319,,千葉県印西市,豊田眼科,トヨダガンカ,,診療所,,,千葉県印西市中央北３－２（イオンモール モール棟２F）,千葉県,印西市,,,,,,,,(0476)47-4714,,,,,,,,,,,,,,,眼科,,,,,,,
122319,,千葉県印西市,奈良整形外科,ナラセイケイゲカ,,診療所,,,千葉県印西市草深１２０４－４,千葉県,印西市,,,,,,,,(0476)46-9011,,,,,,,,,,,,,,,整形外科,,,,,,,
122319,,千葉県印西市,西佐倉印西病院,ニシサクラインザイビョウイン,,病院,,,千葉県印西市岩戸１８４４－１０,千葉県,印西市,,,,,,,,"(0476)99-0261
",,,,,,,,,,,,,,,精神（神経）科;神経内科;内科,,,,,,,
122319,,千葉県印西市,日本医科大学千葉北総病院,ニホンイカダイガクチバホクソウビョウイン,,病院,,,千葉県印西市鎌苅１７１５,千葉県,印西市,,,,,,,,(0476)99-1111,,,,,,,,,,,,,,,循環器内科;脳神経内科;腎臓内科;血液内科;糖尿病・内分泌代謝内科;消化器内科;呼吸器内科;小児科;放射線科;メンタルヘルス科;皮膚科;外科・消化器外科;乳腺科;心臓血管外科;呼吸器外科;脳神経外科;整形外科;眼科;女性診療科・産科;耳鼻咽喉科;泌尿器科;麻酔科;形成外科;リハビリテーション科;緩和ケア科,,,,,,,
122319,,千葉県印西市,はぐくみＢａｂｙ＆Ｋｉｄ’ｓクリニック,ハグクミベビーアンドキッズクリニック,,診療所,,,千葉県印西市西の原5-12-2,千葉県,印西市,,,,,,,,(0476)85-6492,,,,,,,,,,,,,,,小児科,,,,,,,
122319,,千葉県印西市,ばんどうクリニック,バンドウクリニック,,診療所,,,千葉県印西市竜腹寺３４９－１,千葉県,印西市,,,,,,,,(0476)37-8877,,,,,,,,,,,,,,,内科;内視鏡内科;外科;消化器内科;肝臓内科;肛門外科　※時間帯予約制有り,,,,,,,
122319,,千葉県印西市,皮膚科伊藤医院,ヒフカイトウイイン,,診療所,,,千葉県印西市木下１５０９－４５,千葉県,印西市,,,,,,,,(0476)42-2645,,,,,,,,,,,,,,,皮膚科,,,,,,,
122319,,千葉県印西市,ふじた皮フ科医院,フジタヒフカイイン,,診療所,,,千葉県印西市竜腹寺３５０－２,千葉県,印西市,,,,,,,,"(0476)80-8081
",,,,,,,,,,,,,,,皮膚科,,,,,,,
122319,,千葉県印西市,北総メンタルクリニック,ホクソウメンタルクリニック,,診療所,,,千葉県印西市中央北1-1　APOLLO　ＰＬＡＮＴ　ＭＡＬＬ　2F,千葉県,印西市,,,,,,,,,,,,,,,,,,,,,,,心療内科;精神科,,,,,,,
122319,,千葉県印西市,牧の里クリニック,マキノサトクリニック,,診療所,,,千葉県印西市小林北２－６－１４,千葉県,印西市,,,,,,,,(0476)97-1321,,,,,,,,,,,,,,,胃腸科;外科;内科;肛門科;整形外科;理学診療科;レントゲン科;糖尿病専門外来,,,,,,,
122319,,千葉県印西市,牧の原いとうクリニック,マキノハライトウクリニック,,診療所,,,千葉県印西市原４－１,千葉県,印西市,,,,,,,,(0476)47-5011,,,,,,,,,,,,,,,内科;小児科;外科;神経外科;神経内科,,,,,,,
122319,,千葉県印西市,牧の原眼科クリニック,マキノハラガンカクリニック,,診療所,,,千葉県印西市牧の原１－３　（牧の原モア内）,千葉県,印西市,,,,,,,,(0476)37-3020,,,,,,,,,,,,,,,眼科,,,,,,,
122319,,千葉県印西市,牧の原なのはな耳鼻咽喉科,マキノハラナノハナジビインコウカ,,診療所,,,千葉県印西市草深２２２０－３１,千葉県,印西市,,,,,,,,(0476)45-1187,,,,,,,,,,,,,,,耳鼻咽喉科;アレルギー科,,,,,,,
122319,,千葉県印西市,マハナレディースクリニック,マハナレディースクリニック,,診療所,,,千葉県印西市原１－２（ビッグホップ内）,千葉県,印西市,,,,,,,,(0476)37-5812,,,,,,,,,,,,,,,産婦人科,,,,,,,
122319,,千葉県印西市,みらいウィメンズクリニック,ミライウィメンズクリニック,,診療所,,,千葉県印西市原４－２－２,千葉県,印西市,,,,,,,,(0476)40-1200,,,,,,,,,,,,,,,産婦人科;麻酔科,,,,,,,
122319,,千葉県印西市,めぐみこころのクリニック,メグミココロノクリニック,,診療所,,,千葉県印西市原１－２（ビッグホップ内）,千葉県,印西市,,,,,,,,(0476)37-7522,,,,,,,,,,,,,,,心療内科;精神科;老年精神科,,,,,,,
122319,,千葉県印西市,もとの金城クリニック,モトノキンジョウクリニック,,診療所,,,千葉県印西市竜腹寺３５０－２,千葉県,印西市,,,,,,,,(0476)97-7333,,,,,,,,,,,,,,,内科;循環器科,,,,,,,
122319,,千葉県印西市,ラーバン駅前クリニック,ラーバンエキマエクリニック,,診療所,,,千葉県印西市中央北２－１－３（サンクタス千葉ニュータウン中央１F),千葉県,印西市,,,,,,,,(0476)36-5196,,,,,,,,,,,,,,,一般内科;循環器内科;頭痛外来;糖尿病外来,,,,,,,
